Player,Position,Session,Total Distance (m),RPE,Avg Speed (m/min),Top Speed (m/s),HSD (m),HSD Ratio
Ellie,M,1/10 Pre Game,1240.0,,47.69230769230769,6.0,24.0,0.01935483870967742
Ellie,M,1/10 九州 1,1120.0,,65.88235294117646,8.4,136.0,0.12142857142857143
Ellie,M,1/10 九州 2,970.0,,64.66666666666667,7.3,182.0,0.18762886597938144
Ellie,M,1/10 九州 3,1010.0,,59.411764705882355,7.5,75.0,0.07425742574257425
Ellie,M,1/10 九州 4,990.0,,61.875,8.1,134.0,0.13535353535353534
Ellie,M,1/10 九州 5,630.0,,42.0,6.2,50.0,0.07936507936507936
Ellie,M,1/10 Total,4720.0,,59.0,8.4,577.0,0.12224576271186441
Ellie,M,1/11 Pre Game,2190.0,,43.8,6.0,25.0,0.01141552511415525
Ellie,M,1/11 福岡 1,1110.0,,65.29411764705883,6.0,103.0,0.09279279279279279
Ellie,M,1/11 福岡 2,860.0,,53.75,7.5,114.0,0.1325581395348837
Ellie,M,1/11 福岡 3,1090.0,,68.125,9.0,125.0,0.11467889908256881
Ellie,M,1/11 福岡 4,1090.0,,60.55555555555556,6.4,73.0,0.06697247706422019
Ellie,M,1/11 福岡 5,720.0,,51.42857142857143,5.6,30.0,0.041666666666666664
Ellie,M,1/11 福岡 6,770.0,,45.294117647058826,7.0,67.0,0.08701298701298701
Ellie,M,1/11 福岡 7,720.0,,55.38461538461539,6.0,29.0,0.04027777777777778
Ellie,M,1/11 福岡 8,770.0,,51.333333333333336,6.9,50.0,0.06493506493506493
Ellie,M,1/11 Total,7130.0,,56.58730158730159,9.0,591.0,0.08288920056100982
昀禧,M,3/17 HK 1,5510.0,,55.1,8.5,558.0,0.10127041742286752
昀禧,M,3/17 HK 2,670.0,,47.857142857142854,5.6,35.0,0.05223880597014925
昀禧,M,3/17 Total,6180.0,,54.21052631578947,8.5,593.0,0.0959546925566343
昀禧,M,3/18 明治 1,580.0,,72.5,5.9,56.0,0.09655172413793103
昀禧,M,3/18 明治 2,640.0,,80.0,6.8,76.0,0.11875
昀禧,M,3/18 明治 3,580.0,,72.5,7.0,63.0,0.10862068965517241
昀禧,M,3/18 明治 4,730.0,,81.11111111111111,5.5,119.0,0.16301369863013698
昀禧,M,3/18 Total,2530.0,,76.66666666666667,7.0,314.0,0.1241106719367589
昀禧,M,3/19 Revengers 1,840.0,,93.33333333333333,5.4,60.0,0.07142857142857142
昀禧,M,3/19 Revengers 2,670.0,,74.44444444444444,5.7,65.0,0.09701492537313433
昀禧,M,3/19 Revengers 3,770.0,,85.55555555555556,6.3,52.0,0.06753246753246753
昀禧,M,3/19 Revengers 4,730.0,,81.11111111111111,6.8,73.0,0.1
昀禧,M,3/19 Total,3010.0,,83.61111111111111,6.8,250.0,0.08305647840531562
Sydney,A/M,1/10 Pre Game,1290.0,,49.61538461538461,6.6,46.0,0.03565891472868217
Sydney,A/M,1/10 九州 1,1100.0,,64.70588235294117,9.0,152.0,0.13818181818181818
Sydney,A/M,1/10 九州 2,960.0,,64.0,8.3,199.0,0.20729166666666668
Sydney,A/M,1/10 九州 3,1000.0,,58.8235294117647,7.3,91.0,0.091
Sydney,A/M,1/10 九州 4,1070.0,,66.875,7.4,118.0,0.1102803738317757
Sydney,A/M,1/10 九州 5,750.0,,50.0,6.5,58.0,0.07733333333333334
Sydney,A/M,1/10 Total,4880.0,,61.0,9.0,618.0,0.1266393442622951
Sydney,A/M,1/11 Pre Game,2140.0,,42.8,4.8,22.0,0.010280373831775701
Sydney,A/M,1/11 福岡 1,1180.0,,69.41176470588235,8.2,184.0,0.15593220338983052
Sydney,A/M,1/11 福岡 2,840.0,,52.5,5.3,30.0,0.03571428571428571
Sydney,A/M,1/11 福岡 3,680.0,,42.5,7.4,59.0,0.08676470588235294
Sydney,A/M,1/11 福岡 4,1180.0,,65.55555555555556,8.0,218.0,0.1847457627118644
Sydney,A/M,1/11 福岡 5,910.0,,65.0,7.9,80.0,0.0879120879120879
Sydney,A/M,1/11 福岡 6,1100.0,,64.70588235294117,8.1,149.0,0.13545454545454544
Sydney,A/M,1/11 福岡 7,1010.0,,77.6923076923077,8.4,159.0,0.15742574257425743
Sydney,A/M,1/11 福岡 8,870.0,,58.0,6.9,95.0,0.10919540229885058
Sydney,A/M,1/11 Total,7770.0,,61.666666666666664,8.4,974.0,0.12535392535392534
和臻,M,3/17 HK 1,5880.0,,58.8,8.3,816.0,0.13877551020408163
和臻,M,3/17 HK 2,920.0,,65.71428571428571,8.7,119.0,0.12934782608695652
和臻,M,3/17 Total,6800.0,,59.64912280701754,8.7,935.0,0.1375
和臻,M,3/18 明治 1,630.0,,78.75,6.9,138.0,0.21904761904761905
和臻,M,3/18 明治 2,900.0,,112.5,9.1,447.0,0.4966666666666667
和臻,M,3/18 明治 3,690.0,,86.25,7.3,159.0,0.23043478260869565
和臻,M,3/18 明治 4,800.0,,88.88888888888889,7.0,127.0,0.15875
和臻,M,3/18 Total,3020.0,,91.51515151515152,9.1,871.0,0.28841059602649005
和臻,M,3/19 Revengers 1,910.0,,101.11111111111111,8.2,102.0,0.11208791208791208
和臻,M,3/19 Revengers 2,710.0,,78.88888888888889,5.6,67.0,0.09436619718309859
和臻,M,3/19 Revengers 3,910.0,,101.11111111111111,6.7,126.0,0.13846153846153847
和臻,M,3/19 Revengers 4,800.0,,88.88888888888889,6.0,120.0,0.15
和臻,M,3/19 Total,3330.0,,100.9090909090909,8.2,415.0,0.12462462462462462
天愛,D,1/10 Pre Game,1300.0,,50.0,6.1,49.0,0.0376923076923077
天愛,D,1/10 九州 1,980.0,,57.64705882352941,8.5,140.0,0.14285714285714285
天愛,D,1/10 九州 2,690.0,,46.0,6.5,59.0,0.0855072463768116
天愛,D,1/10 九州 3,720.0,,42.35294117647059,6.7,74.0,0.10277777777777779
天愛,D,1/10 九州 4,810.0,,50.625,5.9,57.0,0.07037037037037037
天愛,D,1/10 九州 5,860.0,,57.333333333333336,5.8,43.0,0.05
天愛,D,1/10 Total,4060.0,,50.75,8.5,373.0,0.09187192118226602
天愛,D,1/11 Pre Game,2560.0,,51.2,5.9,67.0,0.026171875
天愛,D,1/11 福岡 1,1200.0,,70.58823529411765,7.8,180.0,0.15
天愛,D,1/11 福岡 2,1000.0,,62.5,7.5,132.0,0.132
天愛,D,1/11 福岡 3,1230.0,,76.875,7.2,162.0,0.13170731707317074
天愛,D,1/11 福岡 4,1130.0,,62.77777777777778,7.3,67.0,0.05929203539823009
天愛,D,1/11 福岡 5,510.0,,36.42857142857143,7.9,12.0,0.023529411764705882
天愛,D,1/11 福岡 6,1080.0,,63.529411764705884,7.1,149.0,0.13796296296296295
天愛,D,1/11 福岡 7,660.0,,50.76923076923077,8.8,64.0,0.09696969696969697
天愛,D,1/11 福岡 8,1030.0,,68.66666666666667,7.0,159.0,0.15436893203883495
天愛,D,1/11 Total,7840.0,,62.22222222222222,8.8,925.0,0.11798469387755103
